State,County,income_1989,income_2010,income_2023,income_1989_real_2023,income_2010_real_2023,income_2023.1,pct_highschool_or_more (1990),pct_highschool_or_more (2010),pct_highschool_or_more_(2023),Established firms 1989,Established firms 2010,Established firms 2022,Pop 1890,Pop 1990,Pop 2010,Pop 2023,churches_1890,churches_1990,churches_2010,churches_2020,church_density_1890,church_density_1990,church_density_2010,church_density_2020,church_persistence_index,Church_persistence_index_3yr,Index_v2,z1890,z1990,index_1890_1990_raw,index_1890_1990
OH,ALLEN,27166,43632,62001,66425,60657,62001,76.1,87.2,92.4,254.0,144,129,40644.0,109755,106331,100838,122.0,135,156,160,3.0,1.23,1.47,1.59,-0.770700730092613,-0.683867365724828,-0.7389379153487970,-0.44047619047619000,-1.0941176470588200,-0.767296918767507,-0.7361803833532140
OH,ASHLAND,26668,44542,64991,65208,61922,64991,76.0,85.6,91.0,86.0,45,68,22223.0,47507,53139,52190,95.0,86,110,135,4.27,1.81,2.07,2.59,-0.0834741879621345,-0.190517302128911,-0.0715988484249011,1.0714285714285700,-0.411764705882353,0.3298319327731090,0.09046248951250800
OH,ASHTABULA,24126,42139,55507,58992,58581,55507,72.4,84.2,87.5,206.0,135,162,43655.0,99821,101497,96845,105.0,128,160,163,2.41,1.28,1.58,1.68,-0.531154345333114,-0.626490366358535,-0.7634503056314030,-1.1428571428571400,-1.035294117647060,-1.0890756302521000,-0.9786278206939930
OH,ATHENS,19169,31559,53837,46871,43873,53837,74.6,86.8,91.8,123.0,63,99,35194.0,59549,64757,62706,133.0,94,97,97,3.78,1.58,1.5,1.55,-0.532031218742912,-0.600598276698343,-0.5526923548236190,0.4880952380952380,-0.6823529411764710,-0.09712885154061650,-0.23123544856512700
OH,AUGLAIZE,30090,52018,76454,73575,72315,76454,76.5,90.3,93.6,96.0,44,59,28100.0,44585,45949,46050,74.0,64,70,61,2.63,1.44,1.52,1.32,-0.740164991354392,-0.677554081750023,-0.7885476234589700,-0.8809523809523810,-0.8470588235294120,-0.8640056022408960,-0.8090465228456220
OH,BELMONT,20987,38320,58411,51317,53272,58411,72.3,86.8,92.0,127.0,86,96,57413.0,71074,70400,64918,142.0,152,144,131,2.47,2.14,2.05,2.02,-0.292484833983413,-0.234795359636467,-0.3733178072312260,-1.071428571428570,-0.0235294117647059,-0.5474789915966380,-0.5705563342100780
OH,BROWN,25286,45887,69990,61828,63792,69990,64.9,80.0,87.8,42.0,42,49,29899.0,34966,44846,43777,85.0,70,69,60,2.84,2.0,1.54,1.37,-0.501495480004691,-0.527272818177398,-0.6164119485617230,-0.630952380952381,-0.1882352941176470,-0.4095938375350140,-0.46666536486862100
OH,BUTLER,32440,54788,81194,79321,76166,81194,76.0,86.8,91.2,587.0,565,624,48597.0,291479,368130,393043,97.0,231,333,331,2.0,0.79,0.9,0.84,-0.979711376113891,-1.08402668313457,-1.2759481772737000,-1.6309523809523800,-1.611764705882350,-1.6213585434173700,-1.3796817861406200
OH,CARROLL,25787,43148,64675,63053,59984,64675,71.5,83.3,89.8,49.0,28,30,17566.0,26521,28836,26758,64.0,47,47,58,3.64,1.77,1.63,2.17,-0.292484833983413,-0.393977121297521,-0.3640109872563190,0.32142857142857100,-0.4588235294117650,-0.06869747899159670,-0.20981354224078400
OH,CHAMPAIGN,31198,49246,74239,76284,68461,74239,75.4,88.4,91.8,75.0,37,52,26980.0,36019,40097,38845,83.0,55,72,74,3.08,1.53,1.8,1.91,-0.292484833983413,-0.465130752249346,-0.5114243776676460,-0.3452380952380950,-0.7411764705882350,-0.5432072829131650,-0.5673377719298200
OH,CLARK,27743,44141,60846,67836,61364,60846,73.4,84.8,89.3,258.0,142,191,52277.0,147548,138333,134610,98.0,168,184,172,1.87,1.14,1.33,1.28,-0.979711376113891,-0.804060715088148,-1.016271127948160,-1.7857142857142900,-1.2000000000000000,-1.4928571428571400,-1.2828611011525200
OH,CLERMONT,32465,58472,83178,79382,81287,83178,72.8,87.2,91.9,319.0,251,306,33553.0,150187,197363,211972,135.0,132,176,179,4.02,0.88,0.89,0.84,-0.979711376113891,-1.06473921181845,-0.9781958687827920,0.773809523809523,-1.5058823529411800,-0.36603641456582700,-0.43384658227319900
OH,CLINTON,27157,46261,68125,66403,64311,68125,74.3,86.3,91.6,72.0,54,41,24240.0,35415,42040,41938,75.0,63,71,67,3.09,1.78,1.69,1.6,-0.292484833983413,-0.496113870806378,-0.5463272033090040,-0.33333333333333400,-0.44705882352941200,-0.3901960784313730,-0.4520499263172840
OH,COLUMBIANA,23368,39502,58474,57139,54915,58474,71.8,85.3,89.7,239.0,104,150,59029.0,108276,107841,100182,139.0,163,191,175,2.35,1.51,1.77,1.75,-0.292484833983413,-0.510596795205501,-0.6587237101601460,-1.214285714285710,-0.7647058823529410,-0.9894957983193280,-0.9035983852427220
OH,COSHOCTON,23617,39469,54687,57747,54869,54687,71.3,85.0,85.0,58.0,32,46,26703.0,35427,36901,36869,97.0,69,87,99,3.63,1.95,2.36,2.69,-0.0834741879621345,-0.0659411335613441,-0.0372021792801536,0.30952380952380900,-0.24705882352941200,0.03123249299719860,-0.13452029020916400
OH,CRAWFORD,24981,41228,55477,61083,57315,55477,73.8,85.8,90.5,84.0,55,49,31927.0,47870,43784,41529,102.0,91,97,86,3.19,1.9,2.22,2.07,-0.292484833983413,-0.241219682830096,-0.2767100765609800,-0.2142857142857140,-0.3058823529411770,-0.26008403361344600,-0.3540156850595760
